Date	Sales	Product
1/1/20	11	Bellen
1/1/20	16	Carlota
1/5/20	5	Carlota
1/6/20	25	Bellen
1/7/20	17	Quad
1/11/20	25	Quad
1/11/20	24	Quad
1/15/20	21	Bellen
1/19/20	3	Quad
1/21/20	31	Bellen
1/26/20	10	Bellen
1/28/20	21	Quad
2/4/20	18	Carlota
2/6/20	26	Carlota
2/8/20	28	Quad
2/10/20	5	Quad
2/13/20	25	Carlota
2/14/20	5	Quad
2/23/20	18	Carlota
2/27/20	10	Carlota
2/28/20	25	Carlota
3/1/20	26	Carlota
3/1/20	22	Carlota
3/3/20	21	Bellen
3/3/20	16	Quad
3/5/20	6	Bellen
3/7/20	33	Carlota
3/8/20	28	Bellen
3/12/20	2	Quad
3/15/20	6	Bellen
3/17/20	20	Bellen
3/17/20	24	Carlota
3/17/20	31	Carlota
3/17/20	28	Quad
3/18/20	13	Carlota
3/19/20	7	Bellen
3/24/20	27	Bellen
3/27/20	5	Bellen
3/27/20	32	Carlota
4/1/20	25	Quad
4/2/20	9	Quad
4/5/20	8	Bellen
4/5/20	20	Quad
4/10/20	27	Bellen
4/13/20	15	Bellen
4/16/20	18	Carlota
4/18/20	22	Bellen
4/19/20	33	Carlota
4/20/20	31	Quad
4/25/20	27	Bellen
4/25/20	29	Quad
4/26/20	20	Bellen
4/28/20	6	Quad
5/2/20	4	Bellen
5/2/20	5	Bellen
5/5/20	24	Bellen
5/6/20	10	Carlota
5/7/20	23	Quad
5/8/20	30	Carlota
5/15/20	25	Bellen
5/22/20	20	Carlota
5/23/20	19	Carlota
6/3/20	15	Bellen
6/7/20	30	Carlota
6/12/20	30	Carlota
6/15/20	17	Bellen
6/17/20	23	Quad
6/18/20	12	Bellen
6/22/20	11	Carlota
6/23/20	31	Bellen
6/23/20	22	Quad
6/25/20	25	Carlota
6/28/20	3	Quad
6/29/20	29	Quad
7/1/20	5	Carlota
7/9/20	2	Bellen
7/9/20	31	Carlota
7/11/20	32	Quad
7/14/20	14	Carlota
7/15/20	7	Quad
7/18/20	23	Carlota
7/18/20	13	Carlota
7/18/20	29	Quad
7/19/20	15	Quad
7/20/20	14	Bellen
7/27/20	15	Quad
8/2/20	30	Carlota
8/6/20	29	Carlota
8/8/20	15	Carlota
8/16/20	16	Bellen
8/23/20	31	Carlota
8/30/20	30	Bellen
9/1/20	33	Quad
9/7/20	9	Bellen
9/8/20	29	Bellen
9/9/20	31	Carlota
9/20/20	14	Bellen
9/20/20	1	Quad
9/21/20	10	Carlota
9/22/20	24	Bellen
9/25/20	10	Bellen
9/29/20	3	Bellen
10/11/20	16	Bellen
10/20/20	15	Bellen
10/21/20	32	Quad
10/24/20	19	Bellen
11/6/20	26	Bellen
11/6/20	5	Bellen
11/7/20	29	Carlota
11/7/20	24	Carlota
11/14/20	5	Quad
11/15/20	3	Quad
11/16/20	31	Bellen
12/6/20	26	Carlota
12/9/20	27	Carlota
12/10/20	19	Carlota
12/14/20	9	Bellen
12/15/20	24	Bellen
12/16/20	15	Carlota
12/18/20	21	Quad
12/22/20	33	Bellen
12/23/20	15	Quad
12/29/20	16	Quad
12/29/20	32	Quad
