Date	Sales	Product
1/8/19	25	Bellen
1/8/19	31	Carlota
1/14/19	2	Bellen
1/16/19	19	Carlota
1/19/19	19	Bellen
1/21/19	8	Bellen
1/23/19	7	Carlota
1/30/19	23	Bellen
2/5/19	30	Carlota
2/9/19	32	Carlota
2/13/19	10	Quad
2/14/19	8	Bellen
2/15/19	6	Carlota
2/17/19	32	Bellen
2/20/19	22	Bellen
2/20/19	32	Bellen
2/22/19	28	Quad
2/28/19	11	Carlota
3/4/19	5	Bellen
3/4/19	27	Carlota
3/6/19	25	Quad
3/8/19	14	Quad
3/12/19	32	Carlota
3/14/19	24	Bellen
3/20/19	16	Quad
3/23/19	21	Carlota
3/25/19	17	Bellen
4/1/19	28	Carlota
4/5/19	32	Quad
4/7/19	4	Carlota
4/7/19	29	Quad
4/8/19	32	Bellen
4/9/19	22	Bellen
4/10/19	14	Carlota
4/18/19	24	Carlota
4/18/19	23	Quad
4/19/19	5	Bellen
4/20/19	16	Carlota
4/25/19	23	Bellen
4/28/19	25	Quad
4/29/19	27	Bellen
5/2/19	26	Quad
5/5/19	21	Bellen
5/10/19	8	Bellen
5/11/19	4	Quad
5/12/19	10	Carlota
5/13/19	11	Quad
5/16/19	5	Bellen
5/18/19	26	Quad
5/19/19	5	Bellen
5/22/19	2	Bellen
5/23/19	20	Carlota
5/24/19	3	Bellen
5/27/19	16	Quad
5/30/19	9	Carlota
5/31/19	23	Bellen
5/31/19	1	Carlota
6/2/19	25	Carlota
6/2/19	31	Carlota
6/8/19	25	Carlota
6/8/19	17	Quad
6/15/19	25	Bellen
6/18/19	18	Bellen
7/1/19	25	Quad
7/5/19	8	Bellen
7/11/19	32	Carlota
7/12/19	1	Bellen
7/12/19	16	Carlota
7/13/19	22	Quad
7/18/19	6	Bellen
7/22/19	15	Bellen
7/22/19	13	Carlota
7/23/19	3	Quad
7/23/19	26	Quad
7/26/19	9	Bellen
7/26/19	6	Quad
7/27/19	9	Bellen
7/30/19	16	Carlota
7/31/19	16	Carlota
8/2/19	11	Bellen
8/4/19	21	Bellen
8/7/19	13	Carlota
8/11/19	22	Bellen
8/14/19	11	Carlota
8/16/19	1	Quad
8/18/19	3	Quad
8/26/19	20	Quad
9/4/19	23	Carlota
9/5/19	6	Quad
9/8/19	27	Quad
9/10/19	22	Bellen
9/10/19	30	Quad
9/11/19	21	Bellen
9/13/19	7	Quad
9/19/19	28	Carlota
9/21/19	10	Quad
9/21/19	32	Quad
9/25/19	18	Bellen
9/27/19	32	Bellen
9/27/19	13	Carlota
9/28/19	1	Bellen
9/28/19	27	Bellen
10/5/19	32	Carlota
10/5/19	7	Carlota
10/5/19	23	Quad
10/7/19	20	Carlota
10/12/19	12	Carlota
10/17/19	27	Bellen
10/19/19	15	Bellen
10/29/19	18	Carlota
11/1/19	14	Quad
11/14/19	18	Carlota
11/14/19	19	Quad
11/17/19	20	Bellen
11/19/19	12	Bellen
11/22/19	15	Bellen
11/29/19	10	Bellen
12/7/19	19	Bellen
12/7/19	23	Quad
12/8/19	22	Quad
12/15/19	26	Bellen
12/19/19	7	Carlota
12/20/19	33	Carlota
12/23/19	16	Bellen
12/26/19	14	Quad
12/28/19	30	Carlota
12/30/19	9	Bellen
